Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
First Nations Clean Energy Network,@FirstNationsCEN,,1,2,,210,https://x.com/FirstNationsCEN/status/1652858806806917120,https://x.com/FirstNationsCEN,"First Nations Clean Energy Network has its work cut out when it comes to policy reform given the complex nature of Australia’s renewable energy regulatory framework.

That's Karrina Nolan talking. 

Ah yep, we do!

via @Eco_gen
https://ecogeneration.com.au/first-nations-clean-energy-harnessing-the-collective-power-of-indigenous-communities/#FirstNations… #indigenous #renewableenergy","May 1, 2023",2023-05-01T02:13:42.000Z
Renew Economy,@renew_economy,,7,19,1,1.9K,https://x.com/renew_economy/status/1697549936794153317,https://x.com/renew_economy,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,"Sep 1, 2023",2023-09-01T10:00:18.000Z
GGee,@22thinkinggirl,https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small,,5,,79,https://x.com/22thinkinggirl/status/1837995979888636232,https://x.com/22thinkinggirl,"Australia’s energy future should be about nation building for future generations. 

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Sep 23,2024-09-22T23:22:44.000Z
Mike Rann,@Mike_Rann,,244,613,72,18K,https://x.com/Mike_Rann/status/1840710587048669374,https://x.com/Mike_Rann,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Sep 30,2024-09-30T11:09:37.000Z
Renew Economy,@renew_economy,,7,19,1,1.9K,https://x.com/renew_economy/status/1697549936794153317,https://x.com/renew_economy,Australia needs policy and market clarity if it is to reach its ambitious but attainable renewable energy targets..,"Sep 1, 2023",2023-09-01T10:00:18.000Z
GGee,@22thinkinggirl,"https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small, https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small",,5,,79,https://x.com/22thinkinggirl/status/1837995979888636232,https://x.com/22thinkinggirl,"Australia’s energy future should be about nation building for future generations. 

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Sep 23,2024-09-22T23:22:44.000Z
Mike Rann,@Mike_Rann,,244,613,72,18K,https://x.com/Mike_Rann/status/1840710587048669374,https://x.com/Mike_Rann,"When South Australia’s renewable energy and emission reduction ambitions were first announced and targets incorporated in legislation, they were widely derided as unachievable. SA has instead overachieved and is an international pacesetter.  @ClimateGroup @TheAusInstitute",Sep 30,2024-09-30T11:09:37.000Z
RegFlow Hub,@RegFlowHub,,,,,141,https://x.com/RegFlowHub/status/1764471398800720356,https://x.com/RegFlowHub,"[Climate Risk]

 Minister for Industry | Australia's Clean Energy Transition and Collaboration with ASEAN Countries

• Australia is focused on becoming a renewable energy superpower through legislation and targeted measures to reduce energy prices, setting ambitious emissions",Mar 4,2024-03-04T02:02:18.000Z
"Millan Lemoine, CFA - markets reaction analysis",@marketlyt,,,,,16,https://x.com/marketlyt/status/1778319666986828195,https://x.com/marketlyt,"According to the AFP News Agency, Australia's Prime Minister has unveiled a plan to overhaul the economy and invest in green energy. This initiative signals a significant shift in Australia's economic policy, with a focus on sustainability and renewable energy sources. Further",Apr 11,2024-04-11T07:10:22.000Z
Australasian Centre for Corporate Responsibility,@AustCCR,,1,,1,131,https://x.com/AustCCR/status/1796322910203961480,https://x.com/AustCCR,Brookfield will emerge as the largest owner and operator of renewable energy in Australia after unveiling a $10 billion bid to buy France’s Neoen – six months after Origin Energy shareholders dismissed a takeover offer,May 31,2024-05-30T23:28:50.000Z
Renewable Energy Law,@Environment_Law,,,,,11,https://x.com/Environment_Law/status/1706415326324547996,https://x.com/Environment_Law,ESG Policy Update–Australia,"Sep 26, 2023",2023-09-25T21:08:12.000Z
Madison Cartwright,@madkcartwright,https://pbs.twimg.com/media/GIC-PXIa8AAGtzC?format=jpg&name=small,,2,,119,https://x.com/madkcartwright/status/1765620230443941975,https://x.com/madkcartwright,"A perfect example of how fundamentally unserious Australian politics is. Rolling out nuclear energy in Australia would be an expensive, decades long process. Meanwhile, the cost of renewable energy is falling like a rock. Energy policy chosen based on culture war nonsense.",Mar 7,2024-03-07T06:07:21.000Z
JON DEE (JonDee.com),@JonDeeOz,"https://pbs.twimg.com/amplify_video_thumb/1766595244810797056/img/WAwaIJdJb7Q9w4bN.jpg, https://pbs.twimg.com/amplify_video_thumb/1766595244810797056/img/WAwaIJdJb7Q9w4bN.jpg, https://pbs.twimg.com/amplify_video_thumb/1766595244810797056/img/WAwaIJdJb7Q9w4bN.jpg",83,293,63,8.7K,https://x.com/JonDeeOz/status/1766637655910138305,https://x.com/JonDeeOz,"Anyone with basic energy knowledge knows that nuclear is stupidly expensive and makes no sense in Australia.

The Coalition’s “nuclear policy” is just their way of trying to delay 100% renewable energy in our grid.",Mar 10,2024-03-10T01:30:14.000Z
Investing News Network Australia (INN),@INN_Australia,,,,,122,https://x.com/INN_Australia/status/1747391884161343900,https://x.com/INN_Australia,Change to Government Policy Drives Improved Returns for Stage One of Waroona Renewable Energy Project @FrontierASX #investing,Jan 17,2024-01-16T22:54:24.000Z
Indra McCormick,@AusAmbPT,"https://pbs.twimg.com/media/Ftma70LaMAcWZYN?format=jpg&name=small, https://pbs.twimg.com/media/Ftma70LaMAcWZYN?format=jpg&name=small",,12,,333,https://x.com/AusAmbPT/status/1646517497229885442,https://x.com/AusAmbPT,"Portugal & Australia share ambitious renewable energy and climate change policy settings. Lots of opportunities to cooperate. Great discussion with Chair of the Environment & Energy Committee of ’s Parliament, Tiago Brandão Rodrigues ⁦@AssembleiaRepub⁩","Apr 14, 2023",2023-04-13T14:15:36.000Z
Financial Review,@FinancialReview,,2,1,2,4.4K,https://x.com/FinancialReview/status/1731070962165031125,https://x.com/FinancialReview,"The COP28 climate summit has bowled up a plethora of pledges on renewable energy, health and agriculture, and Australia has signed up to all the biggies.","Dec 3, 2023",2023-12-02T22:00:53.000Z
Ray Marx & Robyn Deane,@marxdeane,,2,4,2,184,https://x.com/marxdeane/status/1785869367626084642,https://x.com/marxdeane,"MP’s speech sparks walkout at energy event https://sunshinecoastnews.com.au/2024/05/02/mps-speech-sparks-walkout-at-energy-event/… via @Sunshine Coast News
""...Clean Energy Council Queensland policy and impact director Tracey Stinson also told attendees renewable energy was making a growing impact in Australia...""
#EnergyTransition
#Auspol",May 2,2024-05-02T03:10:11.000Z
"Dr. Noel Schulz (she, her, hers)",@WSU_Noel_Schulz,"https://pbs.twimg.com/media/F-YbwcVbMAAIMLB?format=jpg&name=small, https://pbs.twimg.com/media/F-YbwcVbMAAIMLB?format=jpg&name=small",,5,,483,https://x.com/WSU_Noel_Schulz/status/1722094484157296717,https://x.com/WSU_Noel_Schulz,Monday in Australia - our WA delegation visited @Sydney_Uni's US Studies Centre. Panel #1 shared Australian clean energy finance & policy strategies while Panel #2 discussed emerging R&D in & with reps from @PNNLab &amp; @Renewable_H2 speaking. #WSUAustralia2023 #GoCougs,"Nov 8, 2023",2023-11-08T03:31:34.000Z
Aussie Skier,@aussie_skier,,1,6,1,278,https://x.com/aussie_skier/status/1751558264591176095,https://x.com/aussie_skier,The cost of living crisis in Australia is primarily driven by the Absentese govt's renewable energy policy & IR policy that will make it nigh on impossible or far too dangerous to hire casuals for fear of legal repercussions. This will drive up unemployment and welfare demand.,Jan 28,2024-01-28T10:50:07.000Z
SmartCompany,@SmartCompany,,,1,,215,https://x.com/SmartCompany/status/1692355765204341076,https://x.com/SmartCompany,"Electric utes are perfectly suited to driving in regional Australia but the country needs policy changes and more public chargers to encourage the transport trend, according to a renewable energy group. 

https://smartcompany.com.au/industries/transport-logistics/electric-utes-chargers-needed-regional-towns/…","Aug 18, 2023",2023-08-18T02:00:31.000Z
Serendib News,@SerendibNewsAu,,,,,113,https://x.com/SerendibNewsAu/status/1796017161313697886,https://x.com/SerendibNewsAu,"Sri Lanka Eyes South Australia's Energy Transition Policy. President Wickremesinghe explores renewable energy and green hydrogen for a sustainable future
 #EnergyTransition #RenewableEnergy

Read More:",May 30,2024-05-30T03:13:54.000Z
Barclay Pearce Capital,@BarclayPearce,,,,,45,https://x.com/BarclayPearce/status/1729651295085043836,https://x.com/BarclayPearce,"From Targets to Tenders: Australia's Bold Move Towards Renewable Energy! Exploring the shift in energy policy and the use of contracts-for-difference to achieve ambitious emission reduction goals. 

Learn More:
https://barclaypearce.com.au/blog/targets-out-tenders-in-to-achieve-renewable-energy-goals…

#RenewableEnergy #ClimateAction #COP28","Nov 29, 2023",2023-11-28T23:59:38.000Z
Phillip Cornwell,@DollopMcPhusil,,,,,5,https://x.com/DollopMcPhusil/status/1714873402471981144,https://x.com/DollopMcPhusil,RET is still the best: Why it’s time to renew Australia’s renewable energy policy,"Oct 19, 2023",2023-10-19T05:17:34.000Z
Denis Jenkins,@JenkinsDenis,https://pbs.twimg.com/media/Fpwr1y6aUAAdopW?format=jpg&name=900x900,,,,48,https://x.com/JenkinsDenis/status/1629225376399654912,https://x.com/JenkinsDenis,Aggressive policy moves by the United States to fast-track its renewable energy industry namely the $US738 billion Inflation Reduction Act – could drastically undermine Australia’s future green hydrogen exports unless urgent public&private action is taken. https://reneweconomy.com.au/australia-risks-losing-out-in-global-green-hydrogen-race-as-us-speeds-ahead/amp/…,"Feb 25, 2023",2023-02-24T21:02:53.000Z
Energy Networks Australia,@EnergyNetworkAu,"https://pbs.twimg.com/media/FwdyW6eaUAAY6dN?format=jpg&name=small, https://pbs.twimg.com/media/FwdyW6eaUAAY6dN?format=jpg&name=small",,1,,164,https://x.com/EnergyNetworkAu/status/1659420828570882049,https://x.com/EnergyNetworkAu,Do we need a renewable gas target? Is this the next policy step needed for Hydrogen in Australia? We take a look. https://energynetworks.com.au/news/renewable-gas-target/…,"May 19, 2023",2023-05-19T04:48:50.000Z
SmartEnergyCouncil,@SmartEnergyCncl,"https://pbs.twimg.com/media/GNcYuZcacAA5pku?format=jpg&name=small, https://pbs.twimg.com/media/GNcYuZcacAA5pku?format=jpg&name=small",1,4,2,435,https://x.com/SmartEnergyCncl/status/1789927653010502020,https://x.com/SmartEnergyCncl,"Tomorrow's Fed Budget is the gov's chance to lay the foundations for Australia to be a renewable energy & critical minerals superpower 

The @AlboMP Gov looks set to commit to its 'A Future Made in Australia' policy with key commitments to smart energy in the budget.

(contd.)",May 13,2024-05-13T07:56:22.000Z
qnewscrunch,@qnewscrunch,,,,,28,https://x.com/qnewscrunch/status/1727991592273752475,https://x.com/qnewscrunch,"Australia to significantly bolster green energy investment

Australia plans to dramatically expand its policy to lure renewable energy investment to the co...
#Weather @qnewshub @qnewscrunch
https://qnewscrunch.com/weather/australia-to-significantly-bolster-green-energy-investment/…","Nov 24, 2023",2023-11-24T10:04:34.000Z
Melbourne Climate Futures,@MCFunimelb,,2,,,318,https://x.com/MCFunimelb/status/1655444416503635970,https://x.com/MCFunimelb,"Australia’s new policy direction on climate change under the Albanese government must be consolidated by working closely with foreign partners, like South Korea and Japan, on the renewable energy transition, writes Theo Mendez http://go.unimelb.edu.au/33ss","May 8, 2023",2023-05-08T05:28:00.000Z
Michael O'Rourke,@MichaelACT123,,,,,40,https://x.com/MichaelACT123/status/1619095034397335552,https://x.com/MichaelACT123,"Australia: “The government is empowering trade unions, boosting social welfare, reviving industry policy, putting clamps on gas producers, and using regulation and taxpayer funds to accelerate the transition to renewable energy.”
    Tears before bedtime. https://theaustralian.com.au/commentary/jim-chalmers-playing-the-long-game-with-intricate-makeover-of-financial-food-chain/news-story/604fe3c8ffdcb16e4761d33fb11da30c…","Jan 28, 2023",2023-01-27T22:08:32.000Z
Becky Quick,@beckyquick83,,3,8,1,1K,https://x.com/beckyquick83/status/1799272053310464102,https://x.com/beckyquick83,"Even more so than the shift to renewable energy, the NDIS is responsible for Australia’s productivity problem:",Jun 8,2024-06-08T02:47:41.000Z
David Ritter,@David_Ritter,,27,61,5,1.9K,https://x.com/David_Ritter/status/1664423769442766849,https://x.com/David_Ritter,"Australia's incredible cities should be beautiful, liveable, sustainable places for all! This means investing in public transport, green spaces, affordable housing, renewable energy and a universal climate impacts safety net.","Jun 2, 2023",2023-06-02T00:08:44.000Z
MezBundjalungKombumerri Yugambeh Australia,@mezi13,,,1,,24,https://x.com/mezi13/status/1755735858270163275,https://x.com/mezi13,”Energy Minister Chris Bowen is co-developing a First Nations Clean Energy Strategy. Bowen points to projects in Canada involving Indigenous people. “A big proportion of Canada’s renewable energy is actually owned by their First Nations people” #auspol,Feb 9,2024-02-08T23:30:23.000Z
Iowa Climate,@IowaClimate,,,,,31,https://x.com/IowaClimate/status/1655113643321614336,https://x.com/IowaClimate,Perfect Insanity: Australia’s Renewable Energy ‘Policy’ Guarantees Blackouts & Rocketing Prices http://iowaclimate.org/2023/05/07/perfect-insanity-australias-renewable-energy-policy-guarantees-blackouts-rocketing-prices/…,"May 7, 2023",2023-05-07T07:33:37.000Z
Tim  Harcourt,@TimHarcourt,https://pbs.twimg.com/media/GQy6evFbUAAMAI_?format=jpg&name=small,1,3,,355,https://x.com/TimHarcourt/status/1805022881296134149,https://x.com/TimHarcourt,"It was great to catch up with Ohad Blumberg #Israel’s Trade Commissioner to Australia at @UTSEngage . We talked trade, start- ups, R & D, innovation & renewable energy. He’s smart guy with a great grasp of business needs in trade & industry policy @IsraelMFA",Jun 24,2024-06-23T23:39:25.000Z
